SiteID,Latitude,Longitude
NNNF_185,41.3439391669458,-106.217343910821
NNNF_194,41.3439037882165,-106.217363260126
NNNF_228,41.3438583154478,-106.217390811956
NNNF_246,41.3438282035909,-106.217348238474
NNNF_266,41.343795270975,-106.217314313812
NNNF_327,41.3438917212375,-106.217448972982
NNNF_342,41.3438916097547,-106.217556566246
NNNF_363,41.3439549403183,-106.217485971964
NNNF_366,41.3439358738516,-106.217516406135
NNNF_375,41.3439603706721,-106.217573767842
NNNF_388,41.3439690870842,-106.21748293664
NNNF_394,41.3439869544943,-106.217426208733
NNNF_414,41.3440050204273,-106.217546535434
NNNF_415,41.3440216371696,-106.217506708821
NNNF_422,41.3439764365059,-106.217649857302
NNNF_431,41.3440257140042,-106.217602392067
NNNF_452,41.3440495672686,-106.217681411616
NNNF_515,41.3440393237258,-106.21753518623
NNNF_516,41.3440562181054,-106.217550847863
NNNF_563,41.3441046216997,-106.217561287647
NNNF_567,41.3441283879982,-106.217576168944
NNTR_16,41.3439008101185,-106.212811856023
NNTR_23,41.3438163852712,-106.212737320113
NNTR_24,41.3437839490274,-106.212787790681
NNTR_25,41.3437833095284,-106.212820265341
NNTR_27,41.3438143236658,-106.212891909673
NNTR_28,41.3437441153814,-106.212832494361
NNTR_30,41.3436737653884,-106.212742932735
NNTR_31,41.3436687190799,-106.212756811385
NNTR_32,41.3436688400278,-106.212782941453
NNTR_33,41.3436658678422,-106.212785479958
NNTR_34,41.3436534474322,-106.212855481431
NNTR_35,41.3436509880649,-106.212858077258
NNTR_39,41.3436433246797,-106.212870712093
NNTR_468,41.3439368588728,-106.212882697487
NNTR_6,41.3439662642751,-106.212654008157
NNTR_7,41.3439646891088,-106.21260517729
